,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
13100,13100,13955,George Wickens,61,60,60,64,63,30,59,35,22,9,8,48,6,5,15,55,20,10,58,59,12,11,29,25,53,20,31,26,23,20,17,20,52,24,50,31,GK,2,1,Right,"194cm / 6'4""",81kg / 179lb,,22,England,EFL League One,Lincoln City,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/george-wickens/258792,60.0,60.0,64.0,59.0,63.0
13101,13101,13955,Felix Wienand,61,61,57,54,64,32,59,31,34,8,5,41,7,8,12,22,12,10,19,22,13,14,36,34,59,14,30,9,10,8,10,12,55,22,63,27,GK,3,1,Right,"189cm / 6'2""",80kg / 176lb,,22,Germany,3. Liga,Rot-Weiss Essen,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/felix-wienand/265750,61.0,57.0,54.0,59.0,64.0
13120,13120,13955,Marcel Zapytowski,61,61,64,60,62,30,64,32,26,7,9,45,8,7,11,34,10,11,18,15,13,11,27,25,40,10,46,6,14,6,12,11,62,21,75,28,GK,1,1,Right,"187cm / 6'2""",82kg / 181lb,,23,Poland,PKO BP Ekstraklasa,Korona Kielce,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marcel-zapytowski/244813,61.0,64.0,60.0,64.0,62.0
13121,13121,13955,Felipe Zenobio,61,61,59,60,60,30,60,27,34,8,8,45,9,7,11,28,13,12,13,15,11,12,29,41,57,11,36,10,15,8,9,11,49,21,53,27,GK,2,1,Right,"183cm / 6'0""",74kg / 163lb,,24,Argentina,Primera División,Tigre,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/felipe-zenobio/256145,61.0,59.0,60.0,60.0,60.0
13133,13133,14644,Jaime Acosta,60,58,63,55,63,33,57,34,32,17,17,41,18,16,30,32,21,15,30,31,22,11,40,30,52,21,40,20,12,20,20,22,56,34,63,20,GK,1,1,Right,"191cm / 6'3""",78kg / 172lb,,22,Colombia,Libertadores,Junior,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jaime-acosta/275689,58.0,63.0,55.0,57.0,63.0
13149,13149,14644,Mohammed Al Mahasna,60,58,56,54,62,45,64,44,46,7,5,41,9,6,14,46,14,12,29,22,13,9,43,50,55,12,35,8,13,7,10,8,55,29,55,33,GK,3,1,Right,"180cm / 5'11""",71kg / 157lb,,27,Saudi Arabia,ROSHN Saudi League,Al Ittihad,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohammed-al-mahasna/254792,58.0,56.0,54.0,64.0,62.0
13151,13151,14644,Raghid Al Najjar,60,65,55,58,61,36,57,38,34,6,6,44,9,7,17,28,11,10,22,27,14,10,37,39,59,12,43,8,10,6,10,11,56,25,60,17,GK,2,1,Right,"189cm / 6'2""",90kg / 198lb,,27,Saudi Arabia,ROSHN Saudi League,Al Nassr,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/raghid-al-najjar/245502,65.0,55.0,58.0,57.0,61.0
13172,13172,14644,Sergio,60,59,60,58,63,31,57,38,21,8,9,44,6,7,16,36,14,11,28,38,13,12,29,46,53,19,39,12,20,10,13,11,45,21,42,32,GK,3,1,Right,"182cm / 6'0""",75kg / 165lb,,19,Spain,LALIGA HYPERMOTION,CD Tenerife,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sergio/279033,59.0,60.0,58.0,57.0,63.0
13180,13180,14644,Abdulquddus Attiah,60,66,55,57,65,47,57,47,48,4,6,43,6,9,15,32,12,11,25,22,13,10,47,47,50,11,53,7,11,8,19,12,59,18,61,13,GK,3,1,Right,"186cm / 6'1""",75kg / 165lb,,27,Saudi Arabia,ROSHN Saudi League,Al Taawoun,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/abdulquddus-attiah/242352,66.0,55.0,57.0,57.0,65.0
13183,13183,14644,Nicola Bagnolini,60,62,57,59,65,34,53,31,38,9,8,44,8,7,18,32,9,15,32,28,9,11,32,41,54,18,30,9,9,7,12,12,56,30,67,22,GK,2,1,Right,"193cm / 6'4""",78kg / 172lb,,20,Italy,Serie A Enilive,Bologna,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicola-bagnolini/271420,62.0,57.0,59.0,53.0,65.0
13187,13187,14644,Dan Barden,60,61,62,60,64,23,61,22,25,6,8,45,8,9,17,38,12,14,20,23,10,11,38,49,39,18,39,7,14,7,10,12,38,27,42,20,GK,2,1,Right,"195cm / 6'5""",80kg / 176lb,,23,Wales,EFL League Two,Swindon Town,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dan-barden/248741,61.0,62.0,60.0,61.0,64.0
13191,13191,14644,Teddy Bartouche-Selbonne,60,64,59,58,65,27,56,19,38,5,7,44,5,5,15,33,14,11,20,19,13,5,37,46,40,17,23,12,15,11,11,13,45,30,51,19,GK,2,1,Right,"178cm / 5'10""",70kg / 154lb,,27,France,Ligue 2 BKT,En Avant Guingamp,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/teddy-bartouche-selbonne/255014,64.0,59.0,58.0,56.0,65.0
13205,13205,14644,Elias Bördner,60,61,59,58,63,21,59,21,22,7,4,44,6,6,11,30,10,8,24,26,11,5,25,35,52,12,38,7,12,8,11,12,53,21,65,26,GK,3,1,Right,"188cm / 6'2""",92kg / 203lb,,22,Germany,3. Liga,Aleman. Aachen,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/elias-bordner/260822,61.0,59.0,58.0,59.0,63.0
13207,13207,14644,Edoardo Borrelli,60,60,61,57,60,22,57,20,24,8,8,43,6,8,15,31,14,13,27,20,12,8,25,35,56,11,29,12,11,9,12,13,37,19,42,28,GK,3,1,Right,"188cm / 6'2""",77kg / 170lb,,20,Italy,Serie BKT,Catanzaro,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/edoardo-borrelli/277117,60.0,61.0,57.0,57.0,60.0
13208,13208,14644,Rodrigo Borzone,60,61,56,56,61,21,58,17,27,5,5,42,5,7,16,48,12,12,21,21,12,6,48,33,58,14,22,14,12,7,11,13,53,23,70,16,GK,2,1,Right,"190cm / 6'3""",82kg / 181lb,,19,Argentina,Libertadores,Estudiantes,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrigo-borzone/70698,61.0,56.0,56.0,58.0,61.0
13215,13215,14644,Mohammed Bu Sanda,60,60,60,52,60,36,57,35,37,4,8,39,7,8,12,38,14,10,23,24,12,11,36,48,56,17,37,6,14,8,13,13,56,28,61,26,GK,3,1,Right,"184cm / 6'0""",78kg / 172lb,,29,United Arab Emirates,United Emirates League,Al Ain FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohammed-bu-sanda/247067,60.0,60.0,52.0,57.0,60.0
13222,13222,14644,Jack Bycroft,60,63,56,56,62,38,59,40,35,7,8,42,6,7,10,27,14,10,33,44,11,10,45,40,54,10,38,13,13,7,11,10,57,29,60,20,GK,2,1,Right,"187cm / 6'2""",81kg / 179lb,,22,England,EFL League Two,Swindon Town,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jack-bycroft/258943,63.0,56.0,56.0,59.0,62.0
13234,13234,14644,Ertuğrul Çetin,60,62,61,60,60,30,59,33,26,5,5,45,7,9,10,39,13,10,25,28,10,10,25,38,51,17,38,6,10,8,12,14,52,16,57,16,GK,2,1,Right,"188cm / 6'2""",82kg / 181lb,,21,Turkey,Trendyol Süper Lig,Fenerbahçe,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ertugrul-cetin/265404,62.0,61.0,60.0,59.0,60.0
13237,13237,14644,Pierce Charles,60,58,60,59,60,24,62,23,25,5,9,44,8,8,11,50,13,10,33,29,14,17,26,42,50,20,39,12,13,5,10,14,46,25,50,24,GK,3,1,Right,"185cm / 6'1""",78kg / 172lb,,19,Northern Ireland,EFL Championship,Sheffield Wed,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pierce-charles/273839,58.0,60.0,59.0,62.0,60.0
13241,13241,14644,Chen Wei,60,59,58,53,64,29,56,26,34,6,5,40,7,9,10,52,14,10,18,28,12,12,32,33,62,12,26,11,13,21,13,12,53,28,61,18,GK,1,1,Right,"188cm / 6'2""",80kg / 176lb,,26,China PR,CSL,Shanghai Port FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chen-wei/241327,59.0,58.0,53.0,56.0,64.0
13244,13244,14644,Choi Young Eun,60,60,58,51,66,19,58,21,16,6,6,38,6,8,12,27,11,13,22,20,10,10,24,39,52,14,32,7,14,7,13,14,53,24,63,16,GK,2,1,Right,"189cm / 6'2""",78kg / 172lb,,28,Korea Republic,K League 1,Daegu FC,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/choi-young-eun/245074,60.0,58.0,51.0,58.0,66.0
13245,13245,14644,Kacper Chorążka,60,62,65,53,62,26,57,33,15,4,9,40,6,5,15,50,11,11,29,24,14,5,33,33,47,18,47,7,13,8,12,13,49,16,50,26,GK,2,1,Right,"189cm / 6'2""",76kg / 168lb,,25,Poland,SSE Airtricity PD,Bohemians,"Cross Claimer, Deflector",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kacper-chorazka/241052,62.0,65.0,53.0,57.0,62.0
13246,13246,14644,Harry Christy,60,64,56,56,64,32,57,32,33,6,9,42,7,8,10,22,11,10,34,29,13,16,55,26,52,18,36,8,10,5,12,11,54,40,61,24,GK,3,1,Right,"184cm / 6'0""",73kg / 161lb,,20,England,EFL Championship,Leeds United,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/harry-christy/271217,64.0,56.0,56.0,57.0,64.0
13248,13248,14644,Giuseppe Ciocci,60,62,56,54,65,24,58,21,28,8,7,41,8,7,12,36,13,11,25,26,8,9,36,25,56,12,38,15,12,7,12,13,53,34,65,21,GK,2,1,Right,"190cm / 6'3""",85kg / 187lb,,22,Italy,Serie A Enilive,Cagliari,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/giuseppe-ciocci/271199,62.0,56.0,54.0,58.0,65.0
13253,13253,14644,Joel Coleman,60,60,59,57,62,44,58,40,49,11,17,43,16,18,25,37,11,11,34,40,20,17,48,62,58,19,52,16,11,16,12,13,57,40,60,16,GK,3,1,Right,"198cm / 6'6""",82kg / 181lb,,28,England,EFL League One,Bolton,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joel-coleman/219795,60.0,59.0,57.0,58.0,62.0
13267,13267,14644,Tom de Graaff,60,61,57,67,60,32,56,34,29,12,10,50,10,10,26,42,14,13,32,28,15,12,32,40,59,25,36,8,13,10,12,12,53,25,58,37,GK,3,1,Left,"193cm / 6'4""",78kg / 172lb,,19,Holland,Eredivisie,FC Utrecht,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tom-de-graaff/279508,61.0,57.0,67.0,56.0,60.0
13269,13269,14644,Celestin De Schrevel,60,69,50,55,65,32,55,28,38,3,7,41,6,6,10,28,19,12,33,24,18,11,34,31,55,13,23,10,11,8,14,17,39,19,43,19,GK,3,1,Right,"187cm / 6'2""",79kg / 174lb,,22,Belgium,1A Pro League,KAA Gent,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/celestin-de-schrevel/257789,69.0,50.0,55.0,55.0,65.0
13293,13293,14644,Jake Eastwood,60,63,56,59,62,37,57,39,35,4,11,44,17,12,23,30,17,10,24,18,19,14,52,44,56,24,37,11,16,9,21,13,52,33,53,38,GK,2,1,Right,"190cm / 6'3""",81kg / 179lb,,27,England,EFL League Two,Grimsby Town,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jake-eastwood/231046,63.0,56.0,59.0,57.0,62.0
13300,13300,14644,Lucas Escobar,60,60,56,62,64,25,58,21,32,4,7,47,5,9,10,31,11,11,24,29,14,9,22,47,54,14,33,9,14,10,10,11,43,28,49,21,GK,2,1,Right,"185cm / 6'1""",79kg / 174lb,,22,Argentina,Sudamericana,Defensa,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucas-escobar/276612,60.0,56.0,62.0,58.0,64.0
13303,13303,14644,Owen Evans,60,60,60,61,61,43,58,42,45,4,11,46,10,11,30,58,18,14,43,46,18,16,54,45,56,22,22,20,11,9,18,16,39,17,30,15,GK,3,1,Right,"188cm / 6'2""",85kg / 187lb,,27,Wales,EFL League Two,Cheltenham Town,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/owen-evans/230893,60.0,60.0,61.0,58.0,61.0
13306,13306,14644,Fang Jingqi,60,60,61,54,58,38,61,39,36,15,12,41,16,18,18,58,22,19,22,24,14,12,33,54,52,23,27,23,16,30,13,15,40,43,30,21,GK,3,1,Right,"188cm / 6'2""",84kg / 185lb,,31,China PR,CSL,Tianjin JMT FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fang-jingqi/221798,60.0,61.0,54.0,61.0,58.0
13313,13313,14644,Rafael Ferrario,60,59,57,60,62,22,58,16,30,9,8,45,10,8,18,40,15,15,19,20,13,13,24,40,56,20,37,7,15,10,10,12,41,21,46,26,GK,2,1,Right,"186cm / 6'1""",83kg / 183lb,,24,Argentina,Primera División,Barracas Central,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rafael-ferrario/245057,59.0,57.0,60.0,58.0,62.0
13316,13316,14644,Scott Flinders,60,61,58,59,60,28,59,29,27,11,16,44,16,14,23,48,10,11,35,37,16,11,42,55,58,18,58,22,14,13,13,15,56,30,66,28,GK,2,1,Right,"193cm / 6'4""",87kg / 192lb,,38,England,EFL League One,Mansfield Town,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/scott-flinders/152523,61.0,58.0,59.0,59.0,60.0
13319,13319,14644,Juan Foronda,60,60,64,57,61,26,56,22,32,6,9,43,8,9,15,34,10,13,19,18,13,12,42,35,54,12,21,11,13,9,14,14,49,23,56,17,GK,2,1,Right,"187cm / 6'2""",80kg / 176lb,,28,Bolivia,Sudamericana,Universitario,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/juan-foronda/70207,60.0,64.0,57.0,56.0,61.0
13320,13320,14644,Fraga,60,56,63,57,58,24,65,26,22,4,9,43,8,6,18,21,14,11,20,22,13,11,24,28,49,14,25,11,12,7,11,12,54,22,63,25,GK,2,1,Right,"194cm / 6'4""",83kg / 183lb,,21,Spain,LALIGA EA SPORTS,Real Sociedad,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fraga/278045,56.0,63.0,57.0,65.0,58.0
13324,13324,14644,Paolo Garcia,60,58,61,64,64,20,53,20,19,8,9,48,7,7,15,37,11,10,23,24,12,14,32,38,55,14,34,9,14,5,13,13,49,26,58,25,GK,2,1,Right,"187cm / 6'2""",81kg / 179lb,,22,Bolivia,Sudamericana,Universitario,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paolo-garcia/71051,58.0,61.0,64.0,53.0,64.0
13330,13330,14644,Matteo Grandi,60,59,57,60,56,45,61,44,47,17,15,45,12,16,23,29,17,13,32,19,18,19,33,55,61,24,52,25,20,13,13,19,55,40,54,27,GK,3,1,Right,"189cm / 6'2""",75kg / 165lb,,31,Italy,Serie A Enilive,Venezia,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matteo-grandi/230636,59.0,57.0,60.0,61.0,56.0
13333,13333,14644,Daniel Azevedo,60,61,56,54,62,20,63,20,21,7,8,41,6,5,14,22,10,10,26,27,10,12,22,22,49,17,30,8,11,7,12,10,60,20,80,24,GK,1,1,Right,"195cm / 6'5""",90kg / 198lb,,26,Portugal,Liga Portugal,Casa Pia AC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/daniel-azevedo/70284,61.0,56.0,54.0,63.0,62.0
13338,13338,14644,Szilárd Gyenge,60,61,57,56,59,31,58,29,33,10,10,42,15,16,25,35,26,11,32,27,12,15,30,42,60,20,24,15,20,10,20,18,42,28,42,35,GK,2,1,Right,"185cm / 6'1""",78kg / 172lb,,23,Romania,SUPERLIGA,Sepsi OSK,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/szilard-gyenge/72751,61.0,57.0,56.0,58.0,59.0
13344,13344,14644,Jack Hamilton,60,61,58,60,60,46,58,46,46,15,13,45,14,18,23,45,16,16,30,18,15,13,44,65,56,24,44,19,16,11,14,13,51,32,48,16,GK,2,1,Right,"189cm / 6'2""",75kg / 165lb,,30,Scotland,Scottish Prem,Ross County,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jack-hamilton/211537,61.0,58.0,60.0,58.0,60.0
13351,13351,14644,Konstantin Heide,60,59,60,57,63,45,60,43,49,7,6,43,9,14,29,51,13,31,44,29,11,14,23,48,49,31,52,21,11,8,18,19,51,33,51,40,GK,3,1,Right,"189cm / 6'2""",84kg / 185lb,,18,Germany,3. Liga,Unterhaching,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/konstantin-heide/277588,59.0,60.0,57.0,60.0,63.0
13366,13366,14644,Mark Howard,60,61,58,58,60,31,61,33,28,13,13,44,12,12,24,35,14,15,28,29,18,12,37,45,56,24,44,26,15,17,17,12,58,30,68,23,GK,3,1,Right,"183cm / 6'0""",76kg / 168lb,,37,England,EFL League One,Wrexham,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mark-howard/183789,61.0,58.0,58.0,61.0,60.0
13367,13367,14644,Sam Howes,60,61,59,61,62,44,59,47,40,11,12,46,12,10,18,28,15,14,31,28,10,10,39,58,50,10,35,18,11,19,14,10,60,35,63,45,GK,3,1,Right,"190cm / 6'3""",82kg / 181lb,,26,England,EFL League One,Leyton Orient,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sam-howes/230944,61.0,59.0,61.0,59.0,62.0
13378,13378,14644,Luis Idjakovic,60,59,59,62,61,24,66,27,19,7,5,47,6,8,17,30,12,12,18,25,13,11,26,28,39,10,27,8,13,9,13,14,56,37,70,23,GK,4,1,Right,"193cm / 6'4""",80kg / 176lb,,22,Germany,3. Liga,SV Sandhausen,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luis-idjakovic/73332,59.0,59.0,62.0,66.0,61.0
13380,13380,14644,Denys Ignatenko,60,59,57,59,60,25,61,20,33,7,7,44,8,9,11,27,13,13,26,23,10,6,25,28,54,14,30,8,14,8,13,13,49,24,58,24,GK,2,1,Right,"191cm / 6'3""",85kg / 187lb,,21,Ukraine,Ukrayina Liha,Dynamo Kyiv,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/denys-ignatenko/274730,59.0,57.0,59.0,61.0,60.0
13382,13382,14644,Joachim Imbrechts,60,64,57,56,62,38,53,37,40,7,4,42,7,8,18,28,9,11,23,15,12,8,25,44,56,11,27,7,13,6,15,12,41,17,38,17,GK,2,1,Right,"183cm / 6'0""",73kg / 161lb,,22,Sweden,1A Pro League,R. Union St.-G.,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joachim-imbrechts/239594,64.0,57.0,56.0,53.0,62.0
13385,13385,14644,Jacob Jackson,60,60,63,55,62,27,58,26,28,9,9,41,11,19,13,39,17,11,40,44,18,19,33,42,50,21,29,13,14,11,15,19,50,34,55,32,GK,2,1,Right,"180cm / 5'11""",86kg / 190lb,,24,United States,MLS,SJ Earthquakes,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jacob-jackson/267922,60.0,63.0,55.0,58.0,62.0
13389,13389,14644,Håvar Grøntvedt Jenssen,60,61,60,59,61,23,60,17,33,7,9,44,7,9,12,50,11,12,22,25,12,7,32,25,45,19,27,11,12,5,13,10,53,23,69,27,GK,3,1,Right,"193cm / 6'4""",93kg / 205lb,,28,Norway,Eliteserien,Fredrikstad FK,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/havar-gr-ntvedt-jenssen/70117,61.0,60.0,59.0,60.0,61.0
13395,13395,14644,Lucas Hägg Johansson,60,61,60,59,60,38,59,35,42,13,17,44,12,11,22,42,20,15,28,22,13,17,37,33,55,23,46,24,20,21,20,14,55,25,55,23,GK,3,1,Right,"189cm / 6'2""",79kg / 174lb,,30,Sweden,Allsvenskan,Brommapojkarna,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucas-hagg-johansson/211053,61.0,60.0,59.0,59.0,60.0
13397,13397,14644,Louis Jones,60,60,60,58,59,40,59,39,41,16,15,44,14,15,42,39,31,13,41,32,12,12,33,47,54,20,30,20,23,18,21,22,55,26,54,25,GK,3,1,Right,"185cm / 6'1""",74kg / 163lb,,25,England,SSE Airtricity PD,Waterford,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/louis-jones/229046,60.0,60.0,58.0,59.0,59.0
13401,13401,14644,Vishal Kaith,60,65,59,57,57,30,60,29,32,8,7,43,9,7,13,29,13,13,16,16,10,11,24,36,53,18,29,10,13,8,12,11,51,16,56,21,GK,2,1,Right,"187cm / 6'2""",78kg / 172lb,,28,India,ISL,Mohun Bagan SG,Far Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vishal-kaith/245164,65.0,59.0,57.0,60.0,57.0
13406,13406,14644,Yusuf Karagöz,60,61,59,53,60,25,57,28,20,4,5,40,5,9,11,39,11,10,18,29,14,13,31,23,56,17,35,13,12,8,10,13,56,18,69,22,GK,2,1,Right,"195cm / 6'5""",85kg / 187lb,,24,Turkey,Trendyol Süper Lig,Alanyaspor,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yusuf-karagoz/264285,61.0,59.0,53.0,57.0,60.0
13413,13413,14644,Maciej Kikolski,60,61,60,58,59,32,58,30,35,9,6,44,9,7,17,43,13,13,35,30,12,12,39,44,59,17,40,12,20,18,12,14,53,30,55,25,GK,3,1,Right,"192cm / 6'4""",82kg / 181lb,,20,Poland,PKO BP Ekstraklasa,Radomiak Radom,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maciej-kikolski/72923,61.0,60.0,58.0,58.0,59.0
13428,13428,14644,Jonas Krumrey,60,65,60,58,60,52,55,53,51,5,6,44,8,9,15,35,10,13,29,23,11,7,37,57,53,10,29,9,13,8,11,12,68,33,73,17,GK,3,1,Right,"193cm / 6'4""",85kg / 187lb,,20,Germany,3F Superliga,Lyngby BK,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jonas-krumrey/262516,65.0,60.0,58.0,55.0,60.0
13432,13432,14644,Johan Lara,60,61,58,56,61,33,60,33,33,5,7,42,9,7,12,34,12,12,29,20,14,5,31,47,52,17,34,9,11,8,12,13,40,30,39,23,GK,1,1,Right,"188cm / 6'2""",82kg / 181lb,,25,Ecuador,Sudamericana,U. Católica,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/johan-lara/255812,61.0,58.0,56.0,60.0,61.0
13436,13436,14644,Harry Lee,60,60,59,57,60,33,57,35,30,5,6,43,9,7,12,27,11,13,23,21,12,12,38,45,57,16,29,8,12,9,14,10,41,22,41,21,GK,2,1,Right,"188cm / 6'2""",79kg / 174lb,,19,England,EFL League One,Exeter City,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/harry-lee/259404,60.0,59.0,57.0,57.0,60.0
13448,13448,14644,Joan López,60,60,59,57,61,23,59,25,20,6,7,43,6,7,18,28,13,10,25,15,14,8,39,42,58,19,24,12,11,9,14,11,42,21,46,22,GK,2,1,Right,"180cm / 5'11""",73kg / 161lb,,22,Ecuador,Libertadores,IDV,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joan-lopez/261234,60.0,59.0,57.0,59.0,61.0
13449,13449,14644,Carlos López,60,60,57,59,64,36,57,36,35,4,7,44,7,7,16,39,10,12,31,34,11,12,40,42,52,20,22,12,11,5,11,14,42,23,44,20,GK,3,1,Right,"183cm / 6'0""",70kg / 154lb,,19,Spain,LALIGA HYPERMOTION,Málaga CF,"Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carlos-lopez/271491,60.0,57.0,59.0,57.0,64.0
13450,13450,14644,Evan Louro,60,59,59,62,59,35,63,34,36,13,15,47,16,16,15,46,12,15,20,21,14,11,44,33,46,17,44,21,13,20,12,10,64,36,78,16,GK,2,1,Right,"191cm / 6'3""",104kg / 229lb,,28,United States,MLS,FC Cincinnati,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/evan-louro/237399,59.0,59.0,62.0,63.0,59.0
13453,13453,14644,Alexander Lundin,60,57,60,56,59,25,59,29,19,10,12,42,13,17,18,30,13,17,20,21,14,14,40,32,58,16,20,16,11,20,20,20,60,40,74,22,GK,2,1,Right,"187cm / 6'2""",86kg / 190lb,,31,Sweden,Allsvenskan,Mjällby AIF,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexander-lundin/203172,57.0,60.0,56.0,59.0,59.0
13459,13459,14644,Shaun MacDonald,60,58,59,59,60,54,61,53,55,5,8,44,8,9,15,36,12,12,33,38,11,11,37,48,54,19,24,8,11,5,12,10,56,27,54,20,GK,3,1,Right,"187cm / 6'2""",85kg / 187lb,,27,England,EFL League One,Exeter City,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/shaun-mac-donald/270660,58.0,59.0,59.0,61.0,60.0
13460,13460,14644,Sebastian Madejski,60,57,55,60,65,32,63,33,31,14,18,45,12,12,23,42,19,12,30,27,17,15,36,56,55,15,22,9,15,11,18,14,54,32,59,17,GK,2,1,Right,"189cm / 6'2""",78kg / 172lb,,27,Poland,PKO BP Ekstraklasa,Cracovia,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sebastian-madejski/222908,57.0,55.0,60.0,63.0,65.0
13462,13462,14644,Archie Mair,60,61,59,59,60,45,58,46,44,7,9,44,7,8,15,38,14,14,31,29,11,9,46,31,56,17,36,14,11,7,12,12,59,26,62,20,GK,3,1,Left,"198cm / 6'6""",86kg / 190lb,,23,Scotland,EFL Championship,Norwich,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/archie-mair/251345,61.0,59.0,59.0,58.0,60.0
13466,13466,14644,Carlos Marín,60,65,65,59,57,26,58,23,31,8,8,44,6,9,15,31,11,14,26,24,13,15,20,36,40,16,23,12,15,10,12,16,44,24,49,18,GK,3,1,Right,"187cm / 6'2""",79kg / 174lb,,27,Spain,LALIGA HYPERMOTION,Córdoba CF,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carlos-marin/254099,65.0,65.0,59.0,58.0,57.0
13479,13479,14644,Tom McGill,60,62,60,63,62,19,59,20,17,7,5,47,9,8,10,30,14,10,16,21,13,12,29,49,43,19,40,13,10,10,12,12,41,23,46,27,GK,2,1,Right,"185cm / 6'1""",80kg / 176lb,,24,Canada,EFL League Two,MK Dons,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/tom-mc-gill/243588,62.0,60.0,63.0,59.0,62.0
13484,13484,14644,Jorge Mejía,60,59,61,62,58,17,59,17,16,6,6,47,9,8,14,22,10,10,22,28,14,11,35,41,59,18,24,6,10,6,14,10,33,26,35,26,GK,2,1,Right,"178cm / 5'10""",74kg / 163lb,,22,Bolivia,Sudamericana,Nacional Potosí,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jorge-mejia/71770,59.0,61.0,62.0,59.0,58.0
